file_index,timestamp_iso,direction,speed_deg_per_sec,part,sigma,trial_index,stage_in_trial
2,2026-01-15T12:41:44.7737341+09:00,"yaw",30,"front",1.02,8,1
2,2026-01-15T12:41:50.8727681+09:00,"yaw",30,"side",0.85,8,2
2,2026-01-15T12:41:28.4255035+09:00,"yaw",60,"front",1.02,7,1
2,2026-01-15T12:41:34.6112322+09:00,"yaw",60,"side",0.85,7,2
2,2026-01-15T12:41:54.5928812+09:00,"yaw",90,"front",1.02,9,1
2,,"yaw",90,"side",,,
2,2026-01-15T12:41:02.3907810+09:00,"roll",30,"main",0.9,6,1
2,2026-01-15T12:40:43.5299124+09:00,"roll",60,"main",0.9,3,1
2,2026-01-15T12:40:42.4266564+09:00,"roll",90,"main",0.9,2,1
2,2026-01-15T12:40:51.1197891+09:00,"pitch",30,"front",0.85,4,1
2,2026-01-15T12:40:52.0654174+09:00,"pitch",30,"top",0.85,4,2
2,2026-01-15T12:40:27.8034092+09:00,"pitch",60,"front",0.85,1,1
2,2026-01-15T12:40:40.4931937+09:00,"pitch",60,"top",0.85,1,2
2,2026-01-15T12:40:54.9592831+09:00,"pitch",90,"front",0.85,5,1
2,2026-01-15T12:40:59.3392420+09:00,"pitch",90,"top",0.85,5,2
